"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query"
"NoError, ClearMem";"2965940";"A\AlienBreedTA11AGA\AlienBreedTA11AGA.slave";"Alien Breed Tower Assault ? 1994 Team 17";"0";"AlienBreedTA11AGA";"Alien Breed Tower Assault";"1994 Team 17";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AlienBreedTA11";"AGA";"";"";"";"";"alien breed ta 11 tower assault english"
"NoError, EmulPriv, ClearMem, Examine";"3257442";"A\AlienDrugLords\AlienDrugLords.Slave";"Alien Drug Lords: The Chyropian Connection";"0";"AlienDrugLords";"Alien Drug Lords: The Chyropian Connection";"1991 Panther Games";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienDrugLords";"OCS/ECS";"";"";"";"";"alien drug lords the chyropian connection english"
"NoError, EmulPriv, Examine";"574945";"A\AlienFishFinger\AlienFishFinger.Slave";"Alien Fish Finger ? 1995 Skull Army/Davis J. Cruickshank.";"0";"AlienFishFinger";"Alien Fish Finger";"1995 Skull Army/David J. Cruickshank.";"786432";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienFishFinger";"OCS/ECS";"";"";"";"";"alien fish finger english"
"NoError, EmulTrap, NoKbd, ClearMem";"903736";"A\AlienLegion\AlienLegion.Slave";"Alien Legion (c) 1989 Pegasus";"0";"AlienLegion";"Alien Legion";"1989 Pegasus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienLegion";"OCS/ECS";"";"";"";"";"alien legion english"
"NoError, EmulTrap, NoDivZero, ClearMem";"676748";"A\AlienStorm\AlienStorm.Slave";"Alien Storm ? 1990 Sega/US Gold";"0";"AlienStorm";"Alien Storm";"1991 US Gold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienStorm";"OCS/ECS";"";"";"";"";"alien storm english"
"NoError, EmulPriv, ClearMem, Examine";"285527";"A\AlienSyndrome\AlienSyndrome.Slave";"Alien Syndrome ? 1987 SEGA";"0";"AlienSyndrome";"Alien Syndrome";"1987 Sega";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienSyndrome";"OCS/ECS";"";"";"";"";"alien syndrome english"
"NoError, EmulTrap, NoKbd";"1065881";"A\AlienWorld\AlienWorld.Slave";"Alien World (c) 1992 PAL Developments/Hi-Tec - 1";"0";"AlienWorld";"Alien World";"1992 PAL Developments/Hi-Tec";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlienWorld";"OCS/ECS";"";"";"";"";"alien world english"
"NoError, NoKbd, ClearMem";"914857";"A\Aliex\Aliex.Slave";"Aliex ? 1990 Trojan.";"0";"Aliex";"Aliex";"1990 Trojan";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Aliex";"OCS/ECS";"";"";"";"";"aliex english"
"EmulTrap, NoDivZero";"621216";"A\AllanBordersCricket\AllanBordersCricket.Slave";"Allan Border's Cricket (c) 1993 Audiogenic - 2 disks.";"0";"AllanBordersCricket";"Allan Border";"1993 Audiogenic";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AllanBordersCricket";"OCS/ECS";"";"";"";"";"allan borders cricket border english"
"NoError, ReqAGA, EmulPriv, Examine";"2752608";"A\AllNewWorldOfLemmingsAGA\AllNewWorldOfLemmingsAGA.slave";"All New World of Lemmings ? 1994 DMA Design / Psygnosis";"0";"AllNewWorldOfLemmingsAGA";"All New World of Lemmings";"1994 DMA Design / Psygnosis";"2093056";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"AllNewWorldOfLemmings";"AGA";"";"";"";"";"all new world of lemmings english"
"NoError, EmulTrap, ClearMem";"1824190";"A\AlloAllo\AlloAllo.Slave";"'Allo 'Allo (c) 1993 Alternative Software.";"0";"AlloAllo";"Allo Allo";"1993 Alternative Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlloAllo";"OCS/ECS";"";"";"";"";"allo english"
"NoError, EmulTrap";"1393345";"A\AllTerrainRacing\AllTerrainRacing.Slave";"All Terrain Racing (c) 1995 Team 17 - 2 disks.";"0";"AllTerrainRacing";"All Terrain Racing";"1995 Team 17";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AllTerrainRacing";"OCS/ECS";"";"";"";"";"atr all terrain racing"
"NoError, EmulTrap";"924678";"A\AllTerrainRacingXmasDemo\AllTerrainRacingXmasDemo.Slave";"the Amiga Format All Terrain Racing Xmas Demo";"0";"AllTerrainRacingXmasDemo";"All Terrain Racing Xmas Demo";"1994 Team 17";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AllTerrainRacingXmas";"OCS/ECS";"";"";"Demo";"";"all terrain racing xmas english"
"NoError, ClearMem";"300745";"A\Alpha1\Alpha1.Slave";"Alpha-1 ? 1988 ECP";"0";"Alpha1";"Alpha-1";"1988 ECP";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Alpha1";"OCS/ECS";"";"";"";"";"alpha 1 english"
"NoError, ClearMem";"434167";"A\AlphaWaves\AlphaWaves.Slave";"Alpha Waves ? 1990 Infogrames";"0";"AlphaWaves";"Alpha Waves";"1990 Infogrames";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlphaWaves";"OCS/ECS";"";"";"";"";"alpha waves english"
"NoError, ClearMem";"1827795";"A\AlteredBeast\AlteredBeast.slave";"Altered Beast ? 1989 Sega/Activision";"0";"AlteredBeast";"Altered Beast";"1989 Sega/Activision";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlteredBeast";"OCS/ECS";"";"";"";"";"altered beast english"
"NoError, EmulPriv, Examine";"4533292";"A\AlteredDestiny\AlteredDestiny.slave";"Altered Destiny ? 1991 Accolade.";"0";"AlteredDestiny";"Altered Destiny";"1991 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AlteredDestiny";"OCS/ECS";"";"";"";"";"altered destiny english"
"NoError, Req68020, EmulPriv";"512768";"A\AmazingSpiderMan\AmazingSpiderMan.slave";"";"0";"AmazingSpiderMan";"The Amazing Spider-Man";"1990 Paragon-Oxford Digital-Empire";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AmazingSpiderMan";"OCS/ECS";"";"";"";"";"amazing spider man the english"
"NoError, EmulTrap, ClearMem";"2051979";"A\Amberstar\Amberstar.slave";"Amberstar by Thalion (c) 1992 - 3 disks.";"0";"Amberstar";"Amberstar";"1992 Thalion";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Amberstar";"OCS/ECS";"";"";"";"";"amberstar english"
"NoError, EmulTrap, ClearMem";"843289";"A\Amegas\Amegas.Slave";"Amegas (c) 1987 Guido Bartels/reLINE Software - 1";"0";"Amegas";"Amegas";"1987 Guido Bartels/reLINE Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Amegas";"OCS/ECS";"";"";"";"";"amegas english"
"NoError, EmulTrap, ClearMem";"3562163";"A\AmericanGladiators\AmericanGladiators.slave";"American Gladiators ? 1992 GameTek.";"0";"AmericanGladiators";"American Gladiators";"1992 GameTek";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AmericanGladiators";"OCS/ECS";"";"";"";"";"american gladiators english"
"NoError, EmulTrap";"912195";"A\AmericanTagTeamWrestling\AmericanTagTeamWrestling.Slave";"American Tag Team Wrestling by Zeppelin (c) 1992 - 1 disk.";"0";"AmericanTagTeamWrestling";"American Tag Team Wrestling";"1992 Zeppelin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AmericanTagTeamWrestling";"OCS/ECS";"";"";"";"";"american tag team wrestling english"
"NoError, EmulPriv, ClearMem, Examine";"824399";"A\AmigaKarate\AmigaKarate.Slave";"Amiga Karate ? 1987 Eidersoft.";"0";"AmigaKarate";"Amiga Karate";"1987 Eidersoft-Paradox";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AmigaKarate";"OCS/ECS";"";"";"";"";"amiga karate english"
"Disk, NoError, EmulTrap";"1966869";"A\Amnios\Amnios.Slave";"Amnios ? 1991 Psygnosis";"0";"Amnios";"Amnios";"1991 Psygnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Amnios";"OCS/ECS";"";"";"";"";"amnios english"
"NoError, EmulTrap";"981109";"A\Anarchy\Anarchy.Slave";"Anarchy ? 1989 Psygnosis.";"0";"Anarchy";"Anarchy";"1989 Psygnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Anarchy";"OCS/ECS";"";"";"";"";"anarchy english"
"NoError, EmulTrap, EmulPriv, Examine";"2677166";"A\AncientArtOfWarInTheSkies\AncientArtOfWarInTheSkies.Slave";"The Ancient Art of War in the Skies ? 1993 Microprose.";"0";"AncientArtOfWarInTheSkies";"The Ancient Art of War in the Skies";"1993 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AncientArtOfWarInTheSkies";"OCS/ECS";"";"";"";"";"ancient art of war in the skies english"
"NoError, EmulPriv, Examine";"1448681";"A\AnotherWorld\AnotherWorld.slave";"Another World ? 1991 Delphine Software";"0";"AnotherWorld";"Another World";"1991 Delphine Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AnotherWorld";"OCS/ECS";"";"";"";"";"another world english"
"NoError, EmulPriv, Examine";"652770";"A\Antago\Antago.Slave";"Antago ? 1990 Art of Dreams";"0";"Antago";"Antago";"1990 Art of Dreams";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Antago";"OCS/ECS";"";"";"";"";"antago english"
"NoError, EmulPriv, Examine";"317703";"A\AotGSAFP27b6\AotGSAFP27b6.Slave";":";"0";"AotGSAFP27b6";"The Attack of the Green Smelly Aliens from Planet 27b/6";"1991 Alex May";"458752";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AotGSAFP27b6";"OCS/ECS";"";"";"";"";"aot gsafp 27 6 the attack of green smelly aliens from planet english"
"Disk, NoError, EmulTrap, ClearMem";"995649";"A\Apache\Apache.Slave";"Apache / Overdrive ? 1993 Team 17.";"0";"Apache";"Apache / Overdrive";"1993 Team 17";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apache";"OCS/ECS";"";"";"";"";"apache overdrive english"
"Disk, NoError, EmulTrap, ClearMem";"996277";"A\Apache&OverdriveDemo\Apache&OverdriveDemo.Slave";"Apache / Overdrive ? 1993 Team 17.";"0";"Apache&OverdriveDemo";"Apache / Overdrive";"1993 Team 17";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apache&Overdrive";"OCS/ECS";"";"";"Demo";"";"apache overdrive english"
"EmulTrap";"477687";"A\ApacheFlight\ApacheFlight.slave";"Apache Flight by Atlantis (c) 1992 - 1 disk.";"0";"ApacheFlight";"Apache Flight";"1992 Atlantis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ApacheFlight";"OCS/ECS";"";"";"";"";"apache flight english"
"NoError, EmulTrap, NoKbd, ClearMem";"5316130";"A\ApanoSin\ApanoSin.Slave";"Apano Sin ? 1994-2000 Level One.";"0";"ApanoSin";"Apano Sin";"1994-2000 Level One ";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ApanoSin";"OCS/ECS";"";"";"";"";"apano sin english"
"NoError, EmulTrap";"917256";"A\APBImage\APBImage.slave";"APB (All Points Bulletin) by Tengen (c) 1989 - 1 disk.";"0";"APBImage";"APB";"1989 Tengen";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"APB";"OCS/ECS";"";"";"";"Image";"all points bulletin"
"EmulTrap, ClearMem";"2258385";"A\ApidyaKaiko\data\Apidya.slave";"";"0";"Apidya";"Apidya";"1992 Play Byte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apidya";"OCS/ECS";"";"";"";"";"apidya english"
"EmulTrap, ClearMem";"2258385";"A\ApidyaAudios\data\Apidya.slave";"";"0";"Apidya";"Apidya";"1992 Play Byte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apidya";"OCS/ECS";"";"";"";"";"apidya english"
"Disk, NoError, EmulTrap";"2146870";"A\Apidya\Apidya.slave";"Apidya ? 1992 Kaiko";"0";"Apidya";"Apidya";"1992 Kaiko";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apidya";"OCS/ECS";"";"";"";"";"apidya english"
"EmulTrap, ClearMem";"2292401";"A\ApidyaAudios\ApidyaAudios.Slave";"";"0";"ApidyaAudios";"Apidya";"1992 Play Byte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ApidyaAudios";"OCS/ECS";"";"";"";"";"apidya audios english"
"EmulTrap, ClearMem";"2292400";"A\ApidyaKaiko\ApidyaKaiko.Slave";"";"0";"ApidyaKaiko";"Apidya";"1992 Play Byte";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ApidyaKaiko";"OCS/ECS";"";"";"";"";"apidya kaiko english"
"NoError, EmulTrap";"2736321";"A\Apocalypse\Apocalypse.Slave";"Apocalypse (c) 1994 Miracle Games/Virgin - 3 disks.";"0";"Apocalypse";"Apocalypse";"1994 Miracle Games/Virgin";"995328";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apocalypse";"OCS/ECS";"";"";"";"";"apocalypse english"
"NoError, EmulTrap, NoDivZero, ClearMem";"1019938";"A\Apprentice\Apprentice.slave";"";"0";"Apprentice";"Apprentice";"1990 Rainbow Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Apprentice";"OCS/ECS";"";"";"";"";"apprentice english"
"NoError, EmulTrap";"893664";"A\Aquablast\Aquablast.slave";"Aquablast by Elite (c) 1989 - 1 disk.";"0";"Aquablast";"Aquablast";"1989 Elite";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Aquablast";"OCS/ECS";"";"";"";"";"aquablast english"
"NoError, EmulTrap";"571577";"A\AquanautF1Licenceware\AquanautF1Licenceware.slave";"Aquanaut ? 1995 F1 Licenceware.";"0";"AquanautF1Licenceware";"Aquanaut";"1995 F1 Licenseware";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AquanautF1Licenceware";"OCS/ECS";"";"";"";"";"aquanaut 1 licenceware english"
"NoError, EmulTrap, NoDivZero, ClearMem";"926796";"A\AquaticGames\AquaticGames.Slave";"Aquatic Games ? 1992 Millenium.";"0";"AquaticGames";"AquaticGames";"1992 Millenium";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"AquaticGames";"OCS/ECS";"";"";"";"";"aquatic games english"
"NoError, EmulTrap";"1972161";"A\Aquaventura\Aquaventura.slave";"Aquaventura by Psygnosis (c) 1992 - 2 disks.";"0";"Aquaventura";"Aquaventura";"1992 Psygnosis";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Aquaventura";"OCS/ECS";"";"";"";"";"aquaventura english"
"NoError, EmulTrap, EmulPriv, Examine";"1444262";"A\ArabianNights\ArabianNights.Slave";"Arabian Nights ECS/CD32 ? 1993 Krisalis";"0";"ArabianNights";"Arabian Nights (2 disks version)";"1993 Krisalis.";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArabianNights";"OCS/ECS";"";"";"";"";"arabian nights 2 disks version english"
"NoError, EmulPriv, Examine";"1580674";"A\Arachnophobia\Arachnophobia.Slave";"Arachnophobia ? 1991 Disney Software.";"0";"Arachnophobia";"Arachnophobia";"1991 Disney Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Arachnophobia";"OCS/ECS";"";"";"";"";"arachnophobia english"
"NoError, EmulTrap";"914474";"A\ArcadeFruitMachine\ArcadeFruitMachine.Slave";"Arcade Fruit Machine by Zeppelin Games (c) 1991 - 1 disk.";"0";"ArcadeFruitMachine";"Arcade Fruit Machine";"1991 Zeppelin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArcadeFruitMachine";"OCS/ECS";"";"";"";"";"arcade fruit machine english"
"NoError, ReqAGA, EmulPriv, ClearMem";"1004565";"A\ArcadePoolAGA\ArcadePoolAGA.Slave";"Arcade Pool ? 1994 Team 17.";"0";"ArcadePoolAGA";"Arcade Pool AGA";"1994 Team 17";"2097152";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"ArcadePool";"AGA";"";"";"";"";"arcade pool english"
"NoError, ReqAGA, ClearMem";"504837";"A\ArcadeSnookerAGA\ArcadeSnookerAGA.Slave";"Arcade Snooker ? 1995 Team 17";"0";"ArcadeSnookerAGA";"Arcade Snooker";"1995 Team 17";"737280";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"ArcadeSnooker";"AGA";"";"";"";"";"arcade snooker english"
"NoError, EmulTrap";"503566";"A\ArcadeTriviaQuiz\ArcadeTriviaQuiz.slave";"Arcade Trivia Quiz by Zeppelin Games (c) 1991 - 1 disk.";"0";"ArcadeTriviaQuiz";"Arcade Trivia Quiz";"1991 Zeppelin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArcadeTriviaQuiz";"OCS/ECS";"";"";"";"";"arcade trivia quiz english"
"NoError, EmulTrap, NoKbd";"323733";"A\ArcherMacleansBillardAmcn\ArcherMacleansBillardAmcn.Slave";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"0";"ArcherMacleansBillardAmcn";"Archer Maclean Pool";"1992 Archer Maclean/Virgin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArcherMacleansBillardAmcn";"OCS/ECS";"";"";"";"";"archer maclean presents billard americain"
"NoError, EmulTrap, NoKbd";"328294";"A\ArcherMacleansPool\ArcherMacleansPool.Slave";"Archer Maclean Pool (c) 1992 Archer Maclean/Virgin.";"0";"ArcherMacleansPool";"Archer Maclean Pool";"1992 Archer Maclean/Virgin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArcherMacleansPool";"OCS/ECS";"";"";"";"";"archer macleans pool maclean english"
"NoError, EmulTrap, ClearMem";"699823";"A\Archipelagos\Archipelagos.slave";"Archipelagos ? 1989 Astral Software.";"0";"Archipelagos";"Archipelagos";"1989 Astral Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Archipelagos";"OCS/ECS";"";"";"";"";"archipelagos english"
"NoError, EmulPriv, Examine";"951254";"A\Archon\Archon.slave";"";"0";"Archon";"Archon";"1985 Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Archon";"OCS/ECS";"";"";"";"";"archon the light and the dark"
"NoError, EmulPriv, Examine";"937027";"A\Archon2\Archon2.slave";"Archon 2: Adept ? 1986 Electronic Arts.";"0";"Archon2";"Archon II: Adept";"1986 Electronic Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Archon2";"OCS/ECS";"";"";"";"";"archon 2 adept english"
"NoError, EmulPriv, Examine";"934025";"A\Arcticfox\ArcticFox.Slave";"Arctic Fox ? 1985 Electronic Arts";"0";"Arcticfox";"Arctic Fox";"1985 Electronic Arts / Dynamic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Arcticfox";"OCS/ECS";"";"";"";"";"arcticfox arctic fox english"
"NoError, EmulTrap";"910196";"A\Arena\Arena.slave";"Arena by Psygnosis (c) 1986 - 1 disk.";"0";"Arena";"Arena";"1986 Psygnosis";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Arena";"OCS/ECS";"";"";"";"";"arena english"
"NoError, EmulTrap";"352867";"A\Arkanoid\Arkanoid.Slave";"Arkanoid ? 1987 Discovery Software Int..";"0";"Arkanoid";"Arkanoid";"1987 Discovery Software International";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Arkanoid";"OCS/ECS";"";"";"";"";"arkanoid english"
"Disk, NoError";"415400";"A\ArkanoidRevengeOfDoh\ArkanoidRevengeOfDoh.slave";"Arkanoid - Revenge of Doh ? 1988 Imagine.";"0";"ArkanoidRevengeOfDoh";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArkanoidRevengeOfDoh";"OCS/ECS";"";"";"";"";"arkanoid revenge of doh english"
"NoError, EmulTrap";"370960";"A\ArmageddonMan\ArmageddonMan.Slave";"Armageddon Man (c) 1988 Electronic Pencil Co. Ltd/";"0";"ArmageddonMan";"Armageddon Man";"1988 Electronic Pencil Co. Ltd/Martech";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArmageddonMan";"OCS/ECS";"";"";"";"";"armageddon man english"
"NoError, EmulTrap, ClearMem";"1348808";"A\Armalyte\Armalyte.Slave";"Armalyte ? 1991 Thalamus.";"0";"Armalyte";"Armalyte";"1991 Thalamus";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Armalyte";"OCS/ECS";"";"";"";"";"armalyte english"
"Disk, NoError, EmulTrap";"2527116";"A\ArmourGeddon\ArmourGeddon.Slave";"";"0";"ArmourGeddon";"";"";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"ArmourGeddon";"OCS/ECS";"";"";"";"";"armour geddon english"
